UIDClient,UIDStoreLocation,Gender,DateJoined,DaysSinceJoined,MembershipType,MembershipLevel,Age,UVTans,SunlessTans,UpgradeRevenue,RetailRevenue
093390,0003,0,3/24/2008,2413,2,1,20,142,1,23,19.69
094427,0003,0,6/12/2004,3794,2,0,61,79,0,5,258.33
097051,0003,0,3/28/2004,3870,2,1,27,26,11,22,83.43
098118,0003,0,2/14/2010,1721,2,4,56,13,0,0,4.79
100194,0003,1,12/29/2001,4690,2,2,35,55,0,1,155.95
101652,0003,0,5/17/2012,898,2,0,30,17,0,0,0.00
101941,0003,0,12/22/2002,4332,2,0,53,28,0,0,30.57
102248,0003,0,4/6/2003,4227,2,1,44,67,0,1,375.41
102909,0003,0,5/23/2005,3449,2,3,30,179,5,0,589.08
001165,0004,1,5/14/2011,1267,2,0,47,37,0,10,155.25
005783,0004,0,3/15/2010,1692,2,0,33,66,21,0,111.11
006715,0004,0,2/29/2012,976,2,4,34,24,50,0,7.34
008722,0004,0,2/3/2000,5385,2,2,53,39,0,8,6.32
010175,0004,0,2/15/2009,2085,2,1,42,30,16,8,17.67
013615,0004,0,2/15/2010,1720,2,4,45,18,104,8,706.72
013858,0004,0,10/19/2007,2570,2,2,41,64,1,15,802.00
015892,0004,1,4/29/2006,3108,2,0,42,16,1,0,11.85
016545,0004,0,4/10/2010,1666,2,0,55,0,29,0,59.17
016737,0004,1,4/6/2011,1305,2,4,36,50,40,0,64.10
027828,0004,0,4/2/2012,943,2,0,33,63,17,65,137.87
029028,0004,0,3/18/2011,1324,2,4,59,38,0,0,316.29
037018,0004,0,11/16/2010,1446,2,4,38,49,1,22,80.37
042807,0004,1,2/25/2008,2441,2,2,53,29,0,0,102.70
045416,0004,0,2/8/2012,997,2,1,24,75,0,16,31.67
047554,0004,0,10/20/2010,1473,2,4,41,39,5,10,102.45
049750,0004,0,5/31/2010,1615,2,1,54,86,1,72,287.77
058574,0004,0,3/21/2011,1321,2,2,41,49,0,0,93.93
059560,0004,0,3/9/2012,967,2,2,37,17,5,0,234.01
072422,0004,1,4/4/2012,941,2,0,45,48,57,20,12.30
075095,0004,0,8/25/2010,1529,2,1,65,22,1,58,19.96
075613,0004,0,4/13/2009,2028,2,1,42,61,31,100,273.07
075657,0004,0,6/7/2011,1243,2,2,19,91,19,110,311.16
081315,0004,0,3/17/2012,959,2,0,15,19,2,32,59.59
087460,0004,0,4/28/2008,2378,2,2,48,52,0,0,130.53
089694,0004,1,9/26/1999,5515,2,2,60,144,0,18,6.13
104166,0004,0,4/7/2011,1304,2,0,43,33,1,52,75.62
104576,0004,0,8/14/2010,1540,2,3,52,52,0,0,307.18
002597,0005,0,2/12/2007,2819,2,1,68,164,2,152,84.93
005859,0005,1,7/27/2009,1923,2,0,44,8,0,0,3.41
010131,0005,1,4/15/2009,2026,2,1,60,47,2,138,54.07
012807,0005,0,6/1/2005,3440,2,1,38,73,4,0,144.62
013447,0005,0,8/4/2010,1550,2,4,51,0,19,0,54.98
013539,0005,1,3/11/2008,2426,2,4,28,39,30,0,127.98
015280,0005,0,2/25/2006,3171,2,4,36,1,94,5,103.47
015964,0005,0,5/31/2012,884,2,0,27,46,0,0,22.09
019941,0005,1,5/8/2006,3099,2,1,51,11,0,10,56.89
021238,0005,0,6/1/2011,1249,2,1,48,41,7,1,49.12
023647,0005,0,7/1/2008,2314,2,2,32,66,5,8,18.81
029992,0005,0,1/21/2008,2476,2,4,34,80,11,42,257.18
035711,0005,1,12/16/2006,2877,2,0,56,34,0,8,31.15
036646,0005,0,5/1/2007,2741,2,0,67,189,0,6,5.62
037019,0005,0,3/26/2005,3507,2,1,40,94,2,3,99.99
041811,0005,0,12/12/2007,2516,2,0,33,15,42,5,306.61
050219,0005,0,3/10/2005,3523,2,1,57,84,0,282,276.80
055606,0005,0,4/21/2005,3481,2,4,29,0,174,0,0.47
058520,0005,1,6/28/2005,3413,2,1,41,43,2,30,62.81
060973,0005,0,8/22/2006,2993,2,1,51,131,4,21,6.45
061574,0005,1,6/20/2005,3421,2,1,56,127,0,0,0.00
063410,0005,0,2/3/2007,2828,2,0,24,58,6,39,111.82
064573,0005,0,5/20/2008,2356,2,0,32,29,0,5,205.97
065030,0005,1,7/9/2010,1576,2,0,56,454,1,184,38.02
072214,0005,0,3/12/2007,2791,2,1,44,167,0,5,101.37
075639,0005,0,1/18/2008,2479,2,1,70,107,11,98,28.64
079125,0005,0,5/20/2009,1991,2,0,46,10,0,28,11.76
086649,0005,0,6/16/2011,1234,2,1,32,156,14,55,228.72
086817,0005,0,11/9/2007,2549,2,4,45,92,7,8,230.22
089347,0005,0,3/17/2009,2055,2,4,48,10,153,0,721.96
093074,0005,0,6/3/2007,2708,2,1,25,97,4,102,247.18
097070,0005,1,1/31/2005,3561,2,1,26,23,0,0,1.57
001600,0006,0,6/17/2009,1963,2,0,38,11,6,0,42.19
018386,0006,0,10/31/2011,1097,2,4,53,83,1,12,85.98
020945,0006,0,7/29/2011,1191,2,1,37,105,0,64,71.56
027710,0006,1,10/7/2009,1851,2,3,32,107,0,0,20.94
032507,0006,0,2/20/2012,985,2,1,27,91,0,0,109.91
033549,0006,0,4/7/2011,1304,2,0,62,22,1,0,188.75
036312,0006,0,3/23/2012,953,2,0,40,50,2,1,258.55
050817,0006,0,3/18/2009,2054,2,0,41,3,9,0,31.67
057832,0006,0,5/1/2009,2010,2,4,56,34,13,55,191.75
064903,0006,0,4/22/2010,1654,2,3,47,210,6,55,760.17
067087,0006,0,2/24/2012,981,2,1,40,39,0,80,167.52
071426,0006,0,6/2/2011,1248,2,4,53,49,5,0,291.79
076728,0006,0,2/13/2009,2087,2,0,47,58,7,0,740.11
084157,0006,0,3/12/2010,1695,2,1,38,124,1,15,312.85
099819,0006,0,3/7/2009,2065,2,0,38,162,18,0,272.48
102782,0006,0,4/16/2012,929,2,0,43,44,0,0,147.68
015281,0008,0,9/24/2011,1134,2,4,34,59,72,35,40.07
025226,0008,0,9/21/2009,1867,2,0,58,0,9,0,23.28
029088,0008,0,9/15/2010,1508,2,1,22,83,9,8,80.42
033408,0008,0,4/19/2009,2022,2,4,42,70,0,8,132.91
037526,0008,0,10/25/2006,2929,2,4,25,63,60,0,202.04
039348,0008,0,5/9/2011,1272,2,0,47,169,0,0,49.65
044596,0008,0,2/18/2010,1717,2,2,26,9,0,0,146.71
046053,0008,0,12/10/2009,1787,2,4,32,8,24,45,53.29
048228,0008,0,4/24/2008,2382,2,4,52,7,123,0,158.91
048392,0008,0,4/22/2011,1289,2,0,24,23,0,0,94.29
053782,0008,0,11/1/2009,1826,2,4,25,100,77,78,170.36
055468,0008,0,1/21/2007,2841,2,0,24,246,69,0,1477.17
057191,0008,0,8/6/2010,1548,2,0,32,34,10,0,185.99
060274,0008,0,3/23/2011,1319,2,4,66,0,71,0,632.07
064117,0008,0,5/27/2011,1254,2,0,30,11,0,10,8.49
065224,0008,0,6/17/2009,1963,2,4,18,35,3,5,378.82
069323,0008,1,12/31/2010,1401,2,4,47,69,0,0,58.15
070148,0008,0,12/4/2006,2889,2,1,39,96,35,8,52.46
072282,0008,0,3/27/2008,2410,2,1,36,78,22,40,123.98
076483,0008,0,12/16/2009,1781,2,3,72,31,0,0,39.99
084910,0008,0,9/30/2009,1858,2,4,27,0,72,35,319.66
086600,0008,0,7/1/2011,1219,2,1,65,157,0,62,404.94
093525,0008,0,7/15/2003,4127,2,4,33,9,47,0,14.07
101980,0008,0,2/9/2008,2457,2,2,25,174,2,5,78.51
001645,0009,1,6/11/2011,1239,2,3,49,139,17,38,1268.76
009669,0009,0,2/16/2012,989,2,0,35,56,55,0,294.13
027951,0009,0,10/6/2009,1852,2,1,44,50,0,23,17.67
031533,0009,0,1/16/2012,1020,2,0,23,12,0,20,61.10
032831,0009,0,7/14/2010,1571,2,4,36,148,131,15,440.02
035747,0009,0,6/26/2011,1224,2,2,38,120,0,5,250.28
047212,0009,1,7/28/2010,1557,2,4,52,168,0,0,592.91
054209,0009,0,2/27/2012,978,2,2,47,29,0,45,30.58
067749,0009,0,4/15/2010,1661,2,2,36,19,3,52,125.56
091422,0009,0,5/23/2012,892,2,0,36,7,0,10,200.78
097057,0009,0,4/29/2012,916,2,0,33,36,2,0,97.34
098653,0009,0,4/9/2009,2032,2,0,29,14,14,0,43.16
098966,0009,0,12/3/2009,1794,2,0,32,16,2,28,72.49
003206,0010,0,8/25/2011,1164,2,4,36,40,5,5,147.02
014176,0010,0,12/13/2011,1054,2,1,30,104,0,200,36.91
018636,0010,0,10/2/2011,1126,2,0,37,49,9,78,129.15
019538,0010,0,10/10/2011,1118,2,4,45,25,23,0,189.41
024227,0010,0,4/18/2011,1293,2,3,50,50,3,0,314.04
029447,0010,0,1/26/2011,1375,2,2,65,87,0,25,97.90
043130,0010,0,3/31/2012,945,2,0,50,31,4,52,113.64
049241,0010,0,4/16/2010,1660,2,2,51,95,0,45,163.03
058689,0010,0,7/30/2010,1555,2,3,46,179,12,47,54.58
060953,0010,0,4/18/2011,1293,2,0,43,12,0,5,63.96
061044,0010,1,5/8/2010,1638,2,4,48,212,0,15,420.62
062766,0010,1,4/12/2012,933,2,0,33,10,0,0,89.20
064307,0010,0,10/15/2011,1113,2,0,47,36,64,15,81.94
065456,0010,0,6/9/2010,1606,2,3,52,47,0,18,253.92
083814,0010,0,7/6/2011,1214,2,4,48,19,9,0,258.78
085979,0010,0,4/9/2011,1302,2,0,21,58,10,10,292.84
088038,0010,0,4/30/2012,915,2,0,28,9,3,40,111.65
089534,0010,0,3/4/2012,972,2,1,61,74,0,85,125.31
090677,0010,0,5/4/2010,1642,2,4,29,195,31,0,971.15
105867,0010,0,10/11/2010,1482,2,1,32,54,1,50,149.15
000001,0001,0,3/29/2013,582,1,1,16,2,1,0,0.00
000065,0001,1,6/23/2011,1227,1,3,37,10,0,0,45.58
000204,0001,0,5/16/2011,1265,1,1,23,14,1,0,2.83
000438,0001,0,2/11/2010,1724,1,2,22,94,8,48,299.88
000908,0001,0,3/23/2013,588,1,1,45,23,0,2,39.99
001533,0001,0,4/5/2013,575,1,4,42,0,5,0,23.99
001556,0001,0,4/6/2012,939,1,1,33,11,0,0,66.99
001616,0001,0,3/23/2009,2049,1,4,39,0,16,15,0.00
001739,0001,0,5/30/2012,885,1,4,44,0,27,0,265.37
001786,0001,0,2/25/2011,1345,1,1,22,13,0,2,110.34
002062,0001,0,3/26/2011,1316,1,4,55,0,267,6,0.00
002824,0001,0,4/5/2011,1306,1,1,33,4,0,0,25.38
003128,0001,0,4/12/2010,1664,1,4,27,91,0,0,367.17
003221,0001,0,3/9/2011,1333,1,2,36,12,0,0,96.33
003307,0001,0,4/12/2011,1299,1,1,19,9,3,0,27.61
003471,0001,0,8/14/2009,1905,1,4,23,119,14,5,341.07
003586,0001,1,3/14/2008,2423,1,2,48,91,0,0,178.27
004036,0001,0,4/24/2011,1287,1,1,20,31,0,14,55.06
004037,0001,0,7/11/2012,843,1,2,32,12,0,0,51.71
004440,0001,0,5/26/2008,2350,1,1,21,90,7,28,139.95
004502,0001,0,3/13/2011,1329,1,1,25,18,5,0,24.37
004528,0001,0,3/30/2012,946,1,1,24,1,1,0,6.39
004867,0001,0,4/10/2007,2762,1,2,25,10,0,0,83.35
005195,0001,0,2/12/2012,993,1,2,43,46,0,8,91.53
005554,0001,1,3/12/2013,599,1,2,28,14,0,0,75.71
005892,0001,0,3/12/2013,599,1,1,48,15,3,0,76.26
006298,0001,0,8/31/2007,2619,1,1,29,20,0,0,0.00
006448,0001,0,11/22/2005,3266,1,1,41,18,13,0,286.20
006500,0001,0,3/28/2009,2044,1,1,28,43,0,0,13.52
006532,0001,0,4/1/2010,1675,1,4,57,0,7,0,76.16
006706,0001,0,3/6/2008,2431,1,4,49,44,6,8,173.73
006714,0001,0,1/17/2009,2114,1,2,19,131,0,5,275.53
007063,0001,0,4/26/2009,2015,1,1,23,27,18,10,209.07
007334,0001,0,2/28/2008,2438,1,1,36,2,1,0,11.53
007370,0001,0,3/29/2013,582,1,3,29,9,1,0,50.38
007649,0001,0,5/28/2011,1253,1,1,17,22,10,10,125.56
007899,0001,0,4/25/2012,920,1,1,33,13,1,0,160.03
008121,0001,0,4/24/2008,2382,1,3,45,22,2,8,117.86
008375,0001,0,3/11/2008,2426,1,1,45,9,3,8,132.95
008894,0001,0,4/22/2009,2019,1,1,27,26,4,5,0.00
008902,0001,0,6/28/2009,1952,1,1,44,41,1,81,61.97
010396,0001,0,4/7/2011,1304,1,1,18,29,0,0,6.46
010586,0001,0,5/3/2003,4200,1,4,43,35,2,0,101.68
011043,0001,0,5/11/2008,2365,1,4,29,0,12,40,0.00
011354,0001,0,2/11/2010,1724,1,2,23,48,6,0,84.19
011485,0001,0,3/26/2007,2777,1,2,51,230,1,10,331.62
012048,0001,0,5/16/2012,899,1,4,21,29,14,0,147.08
012384,0001,0,6/18/2010,1597,1,1,42,133,4,19,20.39
012566,0001,0,3/1/2013,610,1,1,18,5,2,20,15.38
013532,0001,1,1/7/2009,2124,1,1,19,11,2,25,0.00
013554,0001,0,5/7/2007,2735,1,1,34,27,0,48,0.47
013804,0001,0,3/10/2007,2793,1,2,30,84,3,15,213.29
013868,0001,0,7/19/2012,835,1,1,22,10,1,0,39.78
014128,0001,0,3/21/2008,2416,1,2,19,12,0,0,60.38
014364,0001,0,7/25/2012,829,1,1,19,17,2,8,41.20
014640,0001,0,2/3/2008,2463,1,2,22,26,0,0,5.38
014855,0001,0,3/13/2012,963,1,1,19,24,0,0,2.39
015077,0001,0,2/10/2011,1360,1,2,45,42,3,30,190.21
015209,0001,0,3/15/2011,1327,1,4,32,0,6,0,0.00
015690,0001,0,3/21/2012,955,1,1,25,12,0,0,4.79
015692,0001,0,3/20/2012,956,1,4,17,3,38,15,50.46
015962,0001,0,1/8/2009,2123,1,1,29,109,2,1,70.00
016187,0001,0,3/13/2012,963,1,1,62,53,0,0,0.00
016260,0001,0,3/18/2012,958,1,1,15,10,0,0,35.81
016550,0001,0,3/13/2011,1329,1,1,24,131,3,237,218.68
016703,0001,1,12/28/2011,1039,1,2,31,19,0,5,2.39
017369,0001,0,2/5/2010,1730,1,2,26,66,0,128,188.76
017399,0001,1,3/27/2011,1315,1,1,17,18,0,0,4.79
017536,0001,0,6/8/2007,2703,1,1,20,16,0,0,45.58
018128,0001,0,3/31/2012,945,1,4,59,0,10,0,27.99
018133,0001,0,4/26/2011,1285,1,3,27,84,2,15,139.17
018360,0001,1,12/29/2010,1403,1,3,69,9,1,0,2.99
018760,0001,0,11/28/2012,703,1,2,26,9,0,8,37.97
018945,0001,1,7/29/2003,4113,1,3,50,34,0,0,47.69
019155,0001,0,5/24/2011,1257,1,1,23,35,2,22,110.78
019272,0001,0,2/12/2012,993,1,1,25,24,0,2,0.00
019278,0001,0,4/20/2009,2021,1,1,55,26,0,0,20.96
019577,0001,0,5/1/2012,914,1,1,17,13,0,0,32.77
020141,0001,0,2/10/2010,1725,1,1,22,158,0,16,166.77
020403,0001,0,2/26/2010,1709,1,1,22,19,1,0,5.59
020454,0001,0,12/4/2010,1428,1,2,23,9,8,110,6.49
020681,0001,0,3/17/2012,959,1,4,28,0,28,0,68.97
020977,0001,0,9/25/2012,767,1,1,19,53,5,11,125.45
021025,0001,0,3/26/2011,1316,1,1,38,27,2,12,33.35
021065,0001,0,9/23/2012,769,1,2,49,8,1,2,53.22
021095,0001,1,10/5/2011,1123,1,1,20,50,0,36,72.64
021142,0001,0,3/10/2008,2427,1,1,29,101,2,73,21.13
021309,0001,0,3/3/2012,973,1,1,16,52,0,48,43.18
021336,0001,0,2/27/2007,2804,1,1,37,10,2,0,33.99
022252,0001,0,5/29/2006,3078,1,1,25,29,4,0,367.36
022577,0001,0,11/23/2012,708,1,1,32,39,2,0,129.63
023296,0001,0,6/28/2011,1222,1,3,36,56,0,30,161.35
023395,0001,0,2/25/2007,2806,1,3,37,72,2,8,1034.32
023469,0001,1,3/22/2013,589,1,1,22,21,1,5,26.20
023591,0001,0,3/24/2011,1318,1,1,30,10,1,2,23.83
023704,0001,1,5/1/2012,914,1,1,19,5,0,0,2.39
023865,0001,1,8/5/2008,2279,1,4,57,29,13,2,86.96
023960,0001,0,3/2/2005,3531,1,2,26,12,3,0,86.88
024113,0001,1,3/21/2007,2782,1,3,35,24,0,8,61.57
024210,0001,0,1/5/2011,1396,1,2,26,15,1,5,2.86
024508,0001,0,9/30/2007,2589,1,1,56,66,0,0,47.49
024522,0001,0,10/14/2011,1114,1,4,20,1,4,0,24.28
024543,0001,0,4/11/2010,1665,1,2,56,57,0,65,194.97
024749,0001,0,1/5/2013,665,1,2,53,17,0,0,17.91
025028,0001,0,6/8/2011,1242,1,3,63,8,0,0,68.17
025192,0001,0,4/10/2007,2762,1,2,26,79,2,12,309.11
025245,0001,0,5/1/2009,2010,1,4,42,47,14,35,77.77
025564,0001,0,2/23/2011,1347,1,2,32,54,0,11,95.85
025821,0001,0,2/15/2013,624,1,3,32,36,0,8,15.78
026401,0001,0,3/13/2007,2790,1,2,24,78,0,22,167.60
026727,0001,0,3/16/2012,960,1,2,17,7,0,0,2.99
026796,0001,1,3/19/2007,2784,1,1,28,83,1,135,59.51
027347,0001,0,2/20/2007,2811,1,1,28,3,1,0,0.94
027361,0001,1,12/7/2009,1790,1,2,18,6,0,0,6.14
027486,0001,0,3/31/2008,2406,1,3,55,21,0,0,150.99
027508,0001,0,3/20/2011,1322,1,1,18,119,3,82,89.35
027814,0001,0,3/9/2012,967,1,1,17,38,1,0,6.16
028779,0001,1,1/27/2012,1009,1,3,32,118,6,26,141.60
028981,0001,0,3/15/2012,961,1,1,21,8,3,10,9.58
029640,0001,0,5/19/2011,1262,1,4,51,4,0,0,34.48
029790,0001,0,6/19/2008,2326,1,3,21,9,2,8,80.97
030519,0001,0,4/1/2007,2771,1,1,23,25,0,8,95.35
030689,0001,0,6/9/2011,1241,1,1,41,5,9,0,58.34
030710,0001,0,3/17/2011,1325,1,1,37,25,1,0,18.47
030728,0001,0,6/2/2007,2709,1,3,33,41,0,0,76.88
030970,0001,0,1/15/2012,1021,1,3,34,24,3,0,63.66
031339,0001,0,5/6/2012,909,1,4,44,0,7,0,102.61
031578,0001,0,10/7/2009,1851,1,2,44,31,2,0,10.00
031614,0001,1,9/29/2012,763,1,1,33,69,0,15,75.76
032028,0001,0,6/16/2009,1964,1,1,58,58,0,15,46.66
032358,0001,0,7/12/2008,2303,1,3,28,25,0,0,0.00
032672,0001,0,1/3/2013,667,1,4,33,9,3,0,63.57
033110,0001,1,7/23/2011,1197,1,3,27,64,0,0,132.64
033144,0001,0,4/15/2010,1661,1,3,38,70,0,0,122.38
033309,0001,1,5/8/2007,2734,1,1,26,22,0,5,9.38
033771,0001,1,8/16/2008,2268,1,1,31,50,0,3,6.99
033833,0001,0,8/18/2011,1171,1,2,25,110,4,8,360.93
034035,0001,0,6/12/2007,2699,1,4,24,27,46,30,187.34
034272,0001,0,3/24/2007,2779,1,3,56,42,0,5,143.05
034395,0001,1,5/21/2011,1260,1,1,52,7,0,0,10.39
034443,0001,0,7/8/2008,2307,1,4,61,5,10,1,49.08
034581,0001,0,8/23/2008,2261,1,1,38,5,1,0,26.38
034607,0001,0,5/14/2007,2728,1,1,29,71,4,22,24.96
034713,0001,0,4/23/2011,1288,1,1,21,34,2,0,15.51
035251,0001,0,9/26/2006,2958,1,2,57,18,0,0,120.92
035428,0001,0,5/18/2010,1628,1,4,22,111,35,0,26.15
035840,0001,0,11/20/2005,3268,1,1,26,46,0,0,57.98
036060,0001,0,,41944,1,1,28,9,0,0,0.49
036089,0001,0,2/8/2007,2823,1,1,28,15,1,12,143.07
036287,0001,1,4/27/2007,2745,1,1,52,86,3,0,8.49
036429,0001,0,5/15/2011,1266,1,2,18,14,2,0,61.87
036790,0001,0,2/7/2011,1363,1,1,31,13,0,0,46.46
036913,0001,0,4/2/2013,578,1,1,28,10,0,2,96.36
037295,0001,0,7/8/2012,846,1,1,18,23,0,0,26.38
037326,0001,0,5/3/2010,1643,1,2,27,17,1,5,28.07
037726,0001,0,4/4/2012,941,1,4,19,13,4,8,153.51
037739,0001,0,9/14/2011,1144,1,1,38,80,7,123,71.38
037756,0001,0,4/7/2009,2034,1,2,23,11,7,20,95.71
038187,0001,0,2/28/2012,977,1,2,48,17,0,5,24.98
038319,0001,0,3/23/2007,2780,1,1,60,5,1,2,76.43
038719,0001,0,9/14/2011,1144,1,2,31,31,0,5,71.71
039019,0001,0,6/13/2008,2332,1,1,34,10,0,0,8.58
039638,0001,#NULL!,9/17/2009,1871,1,2,28,10,6,0,75.76
039651,0001,0,3/3/2010,1704,1,4,43,8,0,0,61.48
039739,0001,0,2/25/2009,2075,1,2,54,12,2,0,0.00
039853,0001,0,12/23/2011,1044,1,2,16,22,0,0,82.81
039997,0001,0,6/11/2008,2334,1,2,32,36,6,0,132.60
040124,0001,0,5/17/2011,1264,1,1,56,19,7,76,123.42
040258,0001,1,6/21/2011,1229,1,1,27,41,0,15,49.77
040522,0001,0,4/17/2011,1294,1,4,38,3,11,35,139.77
040733,0001,0,5/16/2012,899,1,4,41,0,13,0,60.25
040882,0001,1,4/29/2007,2743,1,1,41,18,0,20,119.97
041264,0001,0,4/13/2011,1298,1,1,18,26,1,8,71.99
041473,0001,0,1/8/2011,1393,1,3,31,161,4,6,53.87
041626,0001,0,12/31/2009,1766,1,4,27,219,134,144,454.38
041799,0001,0,4/30/2013,550,1,4,54,0,2,0,23.99
042341,0001,0,2/20/2012,985,1,2,56,48,1,20,71.85
042347,0001,0,12/30/2011,1037,1,2,19,155,14,52,174.00
042459,0001,1,2/15/2011,1355,1,1,26,11,0,0,4.79
042823,0001,0,4/29/2013,551,1,1,18,7,0,15,6.99
043071,0001,0,6/28/2002,4509,1,2,53,0,23,0,74.92
043540,0001,0,10/8/2009,1850,1,3,20,24,2,0,231.23
043972,0001,0,4/26/2008,2380,1,4,20,20,0,0,0.47
044329,0001,0,3/2/2011,1340,1,3,22,29,0,0,42.77
044527,0001,1,2/18/2010,1717,1,3,57,120,4,9,3.40
045429,0001,0,3/25/2013,586,1,2,56,10,2,15,7.43
045578,0001,0,3/26/2010,1681,1,2,21,22,0,8,70.54
045588,0001,0,9/1/2012,791,1,1,16,31,0,4,9.14
045721,0001,0,5/11/2007,2731,1,1,25,5,0,0,55.52
046150,0001,0,12/31/2007,2497,1,1,54,7,0,0,34.99
046888,0001,0,3/22/2012,954,1,1,65,52,0,75,0.00
047027,0001,0,3/31/2009,2041,1,1,41,40,1,35,2.99
048066,0001,0,10/1/2009,1857,1,1,28,10,17,170,13.67
048154,0001,0,5/21/2011,1260,1,4,29,0,8,0,25.87
048309,0001,0,3/5/2012,971,1,1,51,16,0,0,2.39
048760,0001,0,3/28/2007,2775,1,1,47,28,0,1,0.00
049242,0001,0,3/26/2008,2411,1,4,28,82,1,0,173.24
049257,0001,1,1/31/2011,1370,1,1,23,50,0,20,172.82
049406,0001,0,6/1/2007,2710,1,4,48,8,15,0,31.57
049657,0001,0,5/1/2008,2375,1,2,26,75,6,42,182.66
049705,0001,0,1/18/2009,2113,1,3,36,26,0,0,114.87
049839,0001,0,3/11/2007,2792,1,4,46,21,0,0,0.00
